32	47	17	32
11	22	24	19
45	13	43	33.66666667
43	31	39	37.66666667
35	48	2	28.33333333
36	47	10	31
7	23	38	22.66666667
30	27	9	22
27	32	28	29
47	29	20	32
37	42	26	35
44	49	17	36.66666667
48	49	6	34.33333333
34	35	3	24
33	43	42	39.33333333
21	10	29	20
12	38	20	23.33333333
34	15	44	31
25	10	39	24.66666667
13	36	3	17.33333333
48	49	42	46.33333333
38	8	44	30
44	32	30	35.33333333
33	1	48	27.33333333
3	11	8	7.333333333
35	8	43	28.66666667
5	31	29	21.66666667
25	39	3	22.33333333
46	50	27	41
10	17	49	25.33333333
22	4	39	21.66666667
47	16	35	32.66666667
40	43	3	28.66666667
31	49	35	38.33333333
50	41	18	36.33333333
4	23	22	16.33333333
50	11	23	28
3	44	34	27
33	14	45	30.66666667
34	6	12	17.33333333
46	21	47	38
2	47	31	26.66666667
1	36	15	17.33333333
44	46	44	44.66666667
46	49	43	46
2	28	37	22.33333333
23	2	33	19.33333333
14	4	36	18
20	44	36	33.33333333
17	16	16	16.33333333
