23	1	35	19.66666667
30	45	12	29
8	42	23	24.33333333
46	45	10	33.66666667
2	35	37	24.66666667
37	47	10	31.33333333
22	43	27	30.66666667
20	27	49	32
50	41	48	46.33333333
28	40	49	39
12	17	46	25
19	6	6	10.33333333
22	3	30	18.33333333
50	48	15	37.66666667
48	14	17	26.33333333
30	14	33	25.66666667
15	35	38	29.33333333
21	11	43	25
36	11	50	32.33333333
45	42	25	37.33333333
6	12	31	16.33333333
1	37	42	26.66666667
24	23	10	19
40	1	36	25.66666667
31	1	28	20
27	9	20	18.66666667
40	2	13	18.33333333
12	8	14	11.33333333
36	1	47	28
36	26	24	28.66666667
18	13	14	15
41	11	4	18.66666667
29	40	27	32
32	10	48	30
46	36	26	36
47	1	3	17
50	38	41	43
16	24	15	18.33333333
30	35	37	34
4	34	41	26.33333333
42	33	47	40.66666667
19	47	1	22.33333333
28	5	20	17.66666667
44	16	49	36.33333333
5	40	23	22.66666667
7	45	28	26.66666667
15	40	5	20
24	35	4	21
47	37	33	39
1	47	24	24
