40 40 40 40 40
5	19	31	18.33333333	19
26	46	30	34	26
5	37	10	17.33333333	10
12	39	50	33.66666667	39
36	23	50	36.33333333	23
10	22	30	20.66666667	22
1	24	12	12.33333333	12
40	26	3	23	26
23	27	32	27.33333333	23
33	31	42	35.33333333	33
5	19	43	22.33333333	19
23	45	25	31	23
28	14	36	26	28
28	48	9	28.33333333	28
19	24	44	29	24
34	21	11	22	21
44	49	6	33	44
21	43	1	21.66666667	21
29	18	35	27.33333333	18
40	12	43	31.66666667	40
36	50	29	38.33333333	29
50	18	49	39	49
9	22	9	13.33333333	9
46	1	45	30.66666667	45
7	49	40	32	40
46	24	40	36.66666667	24
50	10	45	35	45
29	14	27	23.33333333	27
19	20	2	13.66666667	19
34	8	26	22.66666667	26
11	48	12	23.66666667	12
19	22	44	28.33333333	22
17	23	3	14.33333333	17
17	44	50	37	44
1	3	14	6	3
44	14	6	21.33333333	14
23	16	33	24	23
48	35	25	36	35
43	38	50	43.66666667	43
37	46	44	42.33333333	44
47	19	1	22.33333333	19
6	41	27	24.66666667	27
44	22	38	34.66666667	38
12	40	20	24	20
5	36	36	25.66666667	36
49	21	6	25.33333333	21
3	4	1	2.666666667	3
16	23	9	16	16
0 0 0 0 0
