32	8	7	8
5	19	37	19
22	46	32	46
12	12	25	12
36	37	9	37
7	29	17	29
9	26	36	26
31	47	39	47
15	14	48	14
30	44	14	44
19	2	8	2
15	5	23	5
20	38	36	38
3	17	13	17
25	47	9	47
3	1	1	1
36	29	47	29
15	49	26	49
3	26	27	26
25	8	49	8
29	10	34	10
28	50	22	50
5	12	1	12
38	35	33	35
37	11	23	11
33	34	32	34
1	23	21	23
13	12	19	12
25	19	46	19
17	37	39	37
49	39	2	39
8	49	27	49
20	20	15	20
2	47	11	47
9	36	41	36
23	24	33	24
12	39	13	39
30	45	37	45
31	46	28	46
47	3	34	3
34	32	3	32
44	41	28	41
22	41	46	41
6	37	23	37
7	44	17	44
23	35	17	35
4	48	21	48
31	33	10	33
21	50	30	50	
49	11	50	11	
