3	49	34	34
20	41	6	20
10	42	11	11
13	39	50	39
49	4	31	31
36	32	6	32
20	4	49	20
41	39	10	39
9	50	48	48
8	34	22	22
4	33	24	24
21	36	50	36
31	28	26	28
6	16	41	16
2	40	40	40
50	35	23	35
17	41	43	41
7	21	31	31
43	16	14	16
9	40	19	19
22	9	18	18
16	18	5	16
33	14	9	14
15	40	31	31
37	47	33	37
2	1	37	2
7	42	28	28
36	40	43	40
21	17	8	17
12	38	27	27
3	44	28	28
13	33	27	27
18	20	9	18
49	21	27	21
23	5	7	7
11	27	35	27
16	28	3	16
13	5	48	13
33	10	33	33
26	36	41	36
32	17	19	19
36	6	46	36
10	7	20	10
46	31	38	38
37	3	3	3
50	6	9	9
24	39	36	36
47	4	48	47
42	2	17	17
28	2	42	28
