1 1 1 1 1
28	1	33	20.66666667 28
8	35	5	16 8
24	5	6	11.66666667 6
6	50	23	26.33333333 23
38	19	43	33.33333333 38
39	44	46	43 44
4	31	5	13.33333333 5
43	39	6	29.33333333 39
12	46	16	24.66666667 16
19	34	31	28 31
36	15	33	28 33
7	38	25	23.33333333 25
17	4	45	22 17
8	4	33	15 8
31	27	31	29.66666667 27
46	38	8	30.66666667 38
10	16	4	10 10
7	16	14	12.33333333 14
20	35	25	26.66666667 25 
25	38	22	28.33333333 25
48	23	23	31.33333333 23 
39	23	21	27.66666667 23
24	18	11	17.66666667 18
21	30	6	19 21 
23	31	2	18.66666667 23
34	31	47	37.33333333	31
10	49	10	23	10
19	6	21	15.33333333	19
19	36	22	25.66666667	22
29	48	34	37	34
9	13	10	10.66666667	10
50	48	29	42.33333333	29
5	14	49	22.66666667	14
47	19	28	31.33333333	28
29	45	18	30.66666667	45
2	50	43	31.66666667	43
38	47	3	29.33333333	38
41	27	33	33.66666667	33
7	21	23	17	21
26	36	7	23	26
46	3	42	30.33333333	42
3	41	17	20.33333333	17
35	11	36	27.33333333	35
7	21	9	12.33333333	9
32	42	2	25.33333333	32
33	11	12	18.66666667	12
44	44	40	42.66666667	44
38	24	26	29.33333333	26
37	47	27	37	37
